City,Lat,Lng,Max_Temp,Humidity,Speed,Date,Cloudiness,Country
umm lajj,25.0213,37.2685,82.06,55,4.36,04/24/2021,0,SA
mount gambier,-37.8333,140.7667,50.0,100,8.05,04/24/2021,75,AU
vaini,-21.2,-175.2,69.8,100,6.22,04/24/2021,20,TO
kirakira,-10.4544,161.9205,78.82,82,1.68,04/24/2021,99,SB
tasiilaq,65.6145,-37.6368,37.4,75,4.61,04/24/2021,75,GL
rikitea,-23.1203,-134.9692,78.58,70,16.15,04/24/2021,99,PF
lavrentiya,65.5833,-171.0,24.33,93,2.59,04/24/2021,85,RU
bambous virieux,-20.3428,57.7575,79.0,89,14.97,04/24/2021,75,MU
ushuaia,-54.8,-68.3,55.4,58,12.66,04/24/2021,75,AR
mataura,-46.1927,168.8643,51.01,74,8.99,04/24/2021,59,NZ
conde,-7.2597,-34.9075,82.4,78,11.5,04/24/2021,75,BR
dingle,10.9995,122.6711,76.37,84,1.41,04/24/2021,78,PH
chokurdakh,70.6333,147.9167,-15.03,98,3.85,04/24/2021,15,RU
luderitz,-26.6481,15.1594,62.01,87,5.44,04/24/2021,1,NA
lossiemouth,57.7214,-3.2834,53.6,76,16.11,04/24/2021,20,GB
castro,-24.7911,-50.0119,73.76,49,6.06,04/24/2021,7,BR
qaanaaq,77.484,-69.3632,28.17,66,7.29,04/24/2021,99,GL
bahia blanca,-38.7196,-62.2724,65.73,41,11.92,04/24/2021,23,AR
kapaa,22.0752,-159.319,75.2,73,16.11,04/24/2021,40,US
santa cruz,-17.8,-63.1667,68.0,94,2.3,04/24/2021,90,BO
jamestown,42.097,-79.2353,62.01,30,13.8,04/24/2021,1,US
albany,42.6001,-73.9662,70.0,19,3.0,04/24/2021,57,US
hithadhoo,-0.6,73.0833,83.5,70,7.81,04/24/2021,46,MV
atuona,-9.8,-139.0333,80.65,73,21.23,04/24/2021,25,PF
ribeira grande,38.5167,-28.7,60.8,67,18.41,04/24/2021,75,PT
hermanus,-34.4187,19.2345,62.01,80,1.01,04/24/2021,98,ZA
torata,-17.0769,-70.8433,66.27,39,9.46,04/24/2021,1,PE
ixtapa,20.7,-105.2,82.4,57,9.22,04/24/2021,75,MX
provideniya,64.3833,-173.3,33.84,86,1.07,04/24/2021,89,RU
avarua,-21.2078,-159.775,78.8,73,12.66,04/24/2021,20,CK
san juan,-31.5375,-68.5364,73.11,29,7.47,04/24/2021,0,AR
kaitangata,-46.2817,169.8464,44.01,89,4.0,04/24/2021,45,NZ
khatanga,71.9667,102.5,32.23,97,17.07,04/24/2021,100,RU
santa rosa,14.3122,121.1114,81.0,78,3.78,04/24/2021,20,PH
namibe,-15.1961,12.1522,79.57,75,9.53,04/24/2021,44,AO
hilo,19.7297,-155.09,69.8,88,3.44,04/24/2021,90,US
georgetown,5.4112,100.3354,82.0,89,4.61,04/24/2021,40,MY
upernavik,72.7868,-56.1549,34.16,85,5.99,04/24/2021,40,GL
geraldton,-28.7667,114.6,60.8,94,5.75,04/24/2021,40,AU
altamira,-3.2033,-52.2064,78.8,89,3.44,04/24/2021,75,BR
busselton,-33.65,115.3333,52.0,88,1.86,04/24/2021,0,AU
maniitsoq,65.4167,-52.9,38.84,71,0.45,04/24/2021,0,GL
hasaki,35.7333,140.8333,50.0,100,3.44,04/24/2021,20,JP
catumbela,-12.4314,13.5472,80.94,86,1.66,04/24/2021,47,AO
sur,22.5667,59.5289,87.75,38,10.2,04/24/2021,0,OM
tuktoyaktuk,69.4541,-133.0374,21.2,73,4.61,04/24/2021,75,CA
nieuw nickerie,5.95,-56.9833,76.03,91,14.88,04/24/2021,100,SR
newport,51.5877,-2.9984,60.8,41,14.97,04/24/2021,25,GB
butaritari,3.0707,172.7902,82.44,76,11.7,04/24/2021,96,KI
san policarpo,12.1791,125.5072,77.32,86,4.74,04/24/2021,86,PH
kodiak,57.79,-152.4072,42.8,87,2.68,04/24/2021,90,US
trofors,65.5333,13.4063,37.4,56,16.11,04/24/2021,20,NO
bluff,-46.6,168.3333,50.0,75,4.0,04/24/2021,82,NZ
cape town,-33.9258,18.4232,63.0,77,13.8,04/24/2021,0,ZA
harper,4.375,-7.7169,83.28,76,10.04,04/24/2021,78,LR
hamilton,39.1834,-84.5333,54.0,71,5.75,04/24/2021,90,US
carnarvon,-24.8667,113.6333,62.6,94,6.91,04/24/2021,0,AU
aulum,56.2649,8.787,44.6,57,12.66,04/24/2021,75,DK
airai,-8.9266,125.4092,56.98,92,2.48,04/24/2021,30,TL
bengkulu,-3.8004,102.2655,75.72,89,3.98,04/24/2021,98,ID
voiron,45.3639,5.5921,69.8,32,8.05,04/24/2021,0,FR
camacha,33.0833,-16.3333,62.6,82,19.57,04/24/2021,40,PT
arraial do cabo,-22.9661,-42.0278,78.8,73,12.66,04/24/2021,20,BR
cabedelo,-6.9811,-34.8339,82.4,78,11.5,04/24/2021,75,BR
pochutla,15.7432,-96.4661,91.99,51,17.27,04/24/2021,40,MX
talnakh,69.4865,88.3972,30.56,97,11.05,04/24/2021,100,RU
pascagoula,30.3658,-88.5561,78.8,83,10.36,04/24/2021,90,US
scarborough,54.2797,-0.4044,46.0,77,3.0,04/24/2021,7,GB
victoria,22.2855,114.1577,77.0,87,3.0,04/24/2021,45,HK
omboue,-1.5746,9.2618,78.57,85,5.57,04/24/2021,99,GA
mar del plata,-38.0023,-57.5575,66.2,63,12.66,04/24/2021,40,AR
punta arenas,-53.15,-70.9167,51.8,71,16.11,04/24/2021,75,CL
port-gentil,-0.7193,8.7815,82.4,83,8.05,04/24/2021,75,GA
puerto ayora,-0.7393,-90.3518,80.6,74,16.11,04/24/2021,75,EC
garden city,42.3256,-83.331,59.0,50,6.91,04/24/2021,90,US
lagoa,39.05,-27.9833,58.91,82,27.78,04/24/2021,60,PT
torbay,47.6666,-52.7314,51.8,37,28.77,04/24/2021,75,CA
porto nacional,-10.7081,-48.4172,82.4,83,4.61,04/24/2021,40,BR
new norfolk,-42.7826,147.0587,50.0,84,2.91,04/24/2021,99,AU
chetumal,18.5,-88.3,89.6,55,19.57,04/24/2021,1,MX
zhigansk,66.7697,123.3711,33.19,98,10.04,04/24/2021,100,RU
donskoye,45.4552,41.9741,51.8,76,8.95,04/24/2021,75,RU
portland,45.5234,-122.6762,50.0,81,6.91,04/24/2021,90,US
chuy,-33.6971,-53.4616,71.82,69,7.2,04/24/2021,100,UY
beyneu,45.3167,55.2,63.32,37,7.02,04/24/2021,94,KZ
grand gaube,-20.0064,57.6608,79.0,82,10.0,04/24/2021,99,MU
crestline,34.242,-117.2856,63.0,59,5.75,04/24/2021,75,US
cayenne,4.9333,-52.3333,78.8,89,5.75,04/24/2021,40,GF
katobu,-4.9408,122.5276,74.8,91,3.27,04/24/2021,15,ID
nizhnyaya salda,58.0776,60.7202,42.48,68,7.7,04/24/2021,100,RU
port elizabeth,-33.918,25.5701,59.0,94,6.91,04/24/2021,0,ZA
fairbanks,64.8378,-147.7164,48.2,42,4.61,04/24/2021,1,US
esperance,-33.8667,121.9,59.0,77,12.66,04/24/2021,88,AU
grindavik,63.8424,-22.4338,46.4,87,25.32,04/24/2021,75,IS
zaterechnyy,44.7931,45.2097,58.37,60,8.86,04/24/2021,80,RU
kiruna,67.8557,20.2251,28.4,59,11.5,04/24/2021,40,SE
severo-kurilsk,50.6789,156.125,34.95,95,4.25,04/24/2021,100,RU
pittsburg,38.028,-121.8847,63.0,48,9.22,04/24/2021,20,US
bethel,41.3712,-73.414,70.0,23,8.05,04/24/2021,1,US
katsuura,35.1333,140.3,60.8,67,13.8,04/24/2021,0,JP
leningradskiy,69.3833,178.4167,19.38,93,4.38,04/24/2021,100,RU
tilichiki,60.4667,166.1,24.12,90,5.19,04/24/2021,100,RU
zile,40.3031,35.8864,53.6,54,24.16,04/24/2021,75,TR
richards bay,-28.783,32.0377,69.17,85,11.97,04/24/2021,70,ZA
ancud,-41.8697,-73.8203,62.01,72,11.5,04/24/2021,75,CL
yulara,-25.2406,130.9889,53.6,58,6.91,04/24/2021,62,AU
ilulissat,69.2167,-51.1,41.0,60,3.44,04/24/2021,40,GL
korla,41.7597,86.1469,50.83,46,9.73,04/24/2021,16,CN
galle,6.0367,80.217,80.47,81,2.71,04/24/2021,85,LK
mahebourg,-20.4081,57.7,78.8,83,17.27,04/24/2021,75,MU
isangel,-19.55,169.2667,77.25,80,9.86,04/24/2021,86,VU
green valley,31.8543,-110.9937,82.0,15,1.99,04/24/2021,0,US
sinnamary,5.3833,-52.95,78.42,86,12.03,04/24/2021,100,GF
presidencia roque saenz pena,-26.7852,-60.4388,69.01,93,3.0,04/24/2021,100,AR
hobart,-42.8794,147.3294,50.0,71,8.05,04/24/2021,75,AU
cherskiy,68.75,161.3,21.24,96,9.69,04/24/2021,100,RU
bose,45.4612,8.0137,68.0,42,3.44,04/24/2021,0,IT
brownsville,25.9018,-97.4975,93.2,29,17.27,04/24/2021,1,US
sawtell,-30.3833,153.1,53.6,87,4.97,04/24/2021,58,AU
opuwo,-18.0607,13.84,74.07,36,3.2,04/24/2021,59,NA
abu zabad,12.35,29.25,90.86,25,7.81,04/24/2021,75,SD
lompoc,34.6391,-120.4579,55.4,67,6.91,04/24/2021,33,US
haines junction,60.7522,-137.5108,37.4,48,2.8,04/24/2021,13,CA
high level,58.5169,-117.136,33.8,55,8.05,04/24/2021,75,CA
dover,39.1582,-75.5244,66.99,32,8.05,04/24/2021,75,US
lima,-12.0432,-77.0282,69.8,73,8.05,04/24/2021,40,PE
bubaque,11.2833,-15.8333,78.35,70,21.72,04/24/2021,6,GW
gamba,-2.65,10.0,76.57,85,6.62,04/24/2021,100,GA
stepnyak,52.8339,70.7803,44.19,39,13.76,04/24/2021,100,KZ
setermoen,68.861,18.3486,32.0,55,5.75,04/24/2021,89,NO
yellowknife,62.456,-114.3525,17.01,57,12.66,04/24/2021,40,CA
bredasdorp,-34.5322,20.0403,53.6,87,5.75,04/24/2021,96,ZA
beira,-19.8436,34.8389,73.4,83,8.81,04/24/2021,0,MZ
san patricio,28.017,-97.5169,96.8,13,17.27,04/24/2021,1,US
wajid,3.8093,43.2471,79.81,68,5.23,04/24/2021,90,SO
den helder,52.9599,4.7593,46.99,71,13.8,04/24/2021,64,NL
winslow,35.0242,-110.6974,69.8,17,9.22,04/24/2021,1,US
flic en flac,-20.2742,57.3631,79.0,83,17.27,04/24/2021,75,MU
warrington,53.3925,-2.5802,64.4,39,11.5,04/24/2021,50,GB
shingu,33.7333,135.9833,53.19,88,4.76,04/24/2021,5,JP
port lincoln,-34.7333,135.8667,57.74,71,4.36,04/24/2021,0,AU
tougan,13.0667,-3.0667,103.33,7,6.06,04/24/2021,52,BF
saint-donat-de-montcalm,46.3187,-74.2219,68.0,24,3.44,04/24/2021,62,CA
sibolga,1.7427,98.7792,74.21,94,4.52,04/24/2021,100,ID
thunder bay,48.4001,-89.3168,36.0,60,11.5,04/24/2021,90,CA
iqaluit,63.7506,-68.5145,33.8,86,2.3,04/24/2021,75,CA
meulaboh,4.1363,96.1285,76.12,85,2.89,04/24/2021,100,ID
prince rupert,54.3161,-130.3201,50.0,76,4.61,04/24/2021,20,CA
alofi,-19.0595,-169.9187,71.6,100,1.14,04/24/2021,69,NU
vardo,70.3705,31.1107,33.33,91,22.7,04/24/2021,100,NO
cabo san lucas,22.8909,-109.9124,82.0,41,11.5,04/24/2021,1,MX
jutiquile,14.7167,-86.0833,91.4,35,6.76,04/24/2021,40,HN
jalu,29.0331,21.5482,72.86,43,26.64,04/24/2021,28,LY
tiksi,71.6872,128.8694,30.79,93,12.12,04/24/2021,100,RU
klaksvik,62.2266,-6.589,50.0,57,4.61,04/24/2021,98,FO
kampong cham,11.9934,105.4635,80.19,75,5.93,04/24/2021,91,KH
dalvik,65.9702,-18.5286,51.8,62,10.36,04/24/2021,0,IS
tombouctou,20.0,-3.0,98.83,8,7.36,04/24/2021,45,ML
kavieng,-2.5744,150.7967,80.82,79,6.91,04/24/2021,83,PG
bilma,18.6853,12.9164,95.59,8,10.42,04/24/2021,12,NE
ostrovnoy,68.0531,39.5131,36.43,99,3.69,04/24/2021,100,RU
vila franca do campo,37.7167,-25.4333,59.0,88,17.27,04/24/2021,75,PT
east london,-33.0153,27.9116,64.4,88,5.75,04/24/2021,0,ZA
nokaneng,-19.6667,22.2667,70.81,29,6.85,04/24/2021,6,BW
nikolskoye,59.7035,30.7861,42.01,60,2.24,04/24/2021,20,RU
pasuruan,-7.6453,112.9075,82.4,83,9.22,04/24/2021,40,ID
verkhoyansk,67.5447,133.385,17.67,93,5.14,04/24/2021,100,RU
sorland,67.667,12.6934,37.49,56,20.83,04/24/2021,86,NO
oranjemund,-28.55,16.4333,60.06,89,5.28,04/24/2021,9,NA
vaitape,-16.5167,-151.75,79.99,74,7.65,04/24/2021,100,PF
khawhai,23.3667,93.1167,54.61,34,2.62,04/24/2021,35,IN
narasannapeta,18.4167,84.05,80.44,81,4.18,04/24/2021,5,IN
camopi,3.1655,-52.3158,78.82,95,4.27,04/24/2021,97,GF
kilindoni,-7.9139,39.6668,78.85,90,10.92,04/24/2021,100,TZ
plyussa,58.4308,29.3654,34.32,90,5.97,04/24/2021,90,RU
dukat,62.55,155.55,-10.43,99,4.47,04/24/2021,84,RU
bridlington,54.0831,-0.1919,46.0,75,5.01,04/24/2021,14,GB
joshimath,30.5667,79.5667,46.04,54,10.85,04/24/2021,76,IN
lupiro,-8.3833,36.6667,71.87,96,1.23,04/24/2021,84,TZ
poum,-20.2333,164.0167,78.28,81,14.2,04/24/2021,97,NC
sao filipe,14.8961,-24.4956,71.96,74,14.83,04/24/2021,60,CV
dabola,10.75,-11.1167,96.78,22,5.28,04/24/2021,84,GN
port alfred,-33.5906,26.891,67.75,84,9.86,04/24/2021,53,ZA
lebu,-37.6167,-73.65,57.81,68,17.27,04/24/2021,2,CL
barrow,71.2906,-156.7887,24.8,80,3.13,04/24/2021,1,US
dois vizinhos,-25.7336,-53.0572,62.98,95,2.17,04/24/2021,100,BR
palestine,31.9216,35.2033,68.0,73,4.61,04/24/2021,0,PS
langarud,37.197,50.1535,60.8,88,2.19,04/24/2021,90,IR
adre,13.4667,22.2,87.03,15,1.92,04/24/2021,65,TD
ewa beach,21.3156,-158.0072,78.8,69,6.91,04/24/2021,1,US
yar-sale,66.8333,70.8333,27.03,93,3.71,04/24/2021,94,RU
olinda,-8.0089,-34.8553,82.4,54,6.91,04/24/2021,40,BR
garowe,8.4054,48.4845,82.06,62,18.9,04/24/2021,84,SO
cap-aux-meules,47.3821,-61.8597,41.0,75,16.11,04/24/2021,27,CA
aljezur,37.3191,-8.8033,63.43,80,11.56,04/24/2021,97,PT
pailon,-17.65,-62.75,68.0,100,2.3,04/24/2021,90,BO
aguimes,27.9054,-15.4461,71.6,64,2.3,04/24/2021,75,ES
sidi ali,36.0998,0.4206,69.69,58,17.76,04/24/2021,84,DZ
jibuti,11.5,42.5,84.2,74,14.61,04/24/2021,1,DJ
arman,59.7,150.1667,13.91,73,13.0,04/24/2021,83,RU
souillac,-20.5167,57.5167,78.8,83,17.27,04/24/2021,75,MU
lasa,46.6166,10.7002,68.0,35,5.75,04/24/2021,0,IT
varhaug,58.6147,5.6457,44.01,67,5.99,04/24/2021,6,NO
bilibino,68.0546,166.4372,22.6,95,1.88,04/24/2021,100,RU
paraibano,-6.4331,-43.9836,83.21,75,4.9,04/24/2021,81,BR
codrington,-38.2667,141.9667,50.88,92,6.15,04/24/2021,100,AU
norman wells,65.282,-126.8329,30.2,64,3.44,04/24/2021,75,CA
lac du bonnet,50.2536,-96.0612,42.01,52,6.96,04/24/2021,52,CA
puerto escondido,15.85,-97.0667,87.8,70,9.22,04/24/2021,40,MX
maromitsa,59.8683,48.0123,43.41,87,6.85,04/24/2021,89,RU
campana,-34.1687,-58.9591,73.0,69,4.0,04/24/2021,47,AR
ketchikan,55.3422,-131.6461,51.8,50,12.66,04/24/2021,1,US
kindu,-2.95,25.95,71.67,95,2.06,04/24/2021,96,CD
longyearbyen,78.2186,15.6401,26.6,63,4.61,04/24/2021,75,SJ
fethiye,36.6217,29.1164,68.0,56,1.14,04/24/2021,75,TR
kruisfontein,-34.0033,24.7314,60.01,92,3.0,04/24/2021,90,ZA
porto novo,6.4965,2.6036,86.0,74,13.8,04/24/2021,40,BJ
margate,51.3813,1.3862,48.0,70,5.01,04/24/2021,45,GB
zaozhuang,34.8647,117.5542,54.48,86,11.68,04/24/2021,100,CN
guerrero negro,27.9769,-114.0611,66.4,58,14.41,04/24/2021,26,MX
la ronge,55.1001,-105.2842,24.8,46,5.75,04/24/2021,53,CA
thompson,55.7435,-97.8558,23.0,54,4.18,04/24/2021,90,CA
beringovskiy,63.05,179.3167,29.39,97,4.72,04/24/2021,95,RU
ponta do sol,32.6667,-17.1,66.2,63,8.05,04/24/2021,40,PT
esil,51.9556,66.4042,48.04,40,16.78,04/24/2021,100,KZ
preobrazheniye,42.9019,133.9064,38.17,69,6.73,04/24/2021,3,RU
dikson,73.5069,80.5464,11.19,88,15.68,04/24/2021,88,RU
papetoai,-17.4961,-149.8729,80.6,69,5.75,04/24/2021,75,PF
kisangani,0.5167,25.2,71.55,99,0.31,04/24/2021,98,CD
kastamonu,41.5,33.6667,50.5,82,4.97,04/24/2021,100,TR
arlit,18.7369,7.3853,96.51,6,7.61,04/24/2021,7,NE
lichtenburg,-26.152,26.1597,58.86,30,4.7,04/24/2021,2,ZA
eldorado,-23.7869,-54.2836,79.29,37,3.94,04/24/2021,90,BR
tommot,58.9564,126.2925,30.0,97,4.81,04/24/2021,100,RU
shache,38.4167,77.2406,62.69,10,2.91,04/24/2021,90,CN
sao joao da barra,-21.6403,-41.0511,86.0,51,4.61,04/24/2021,40,BR
gushikawa,26.3544,127.8686,66.2,82,9.22,04/24/2021,1,JP
aksha,50.2814,113.2867,42.69,17,4.36,04/24/2021,100,RU
varsag,46.5167,25.35,50.0,54,5.99,04/24/2021,22,RO
smolenka,52.1352,113.4974,33.8,34,4.47,04/24/2021,100,RU
tautira,-17.7333,-149.15,80.6,69,5.75,04/24/2021,75,PF
husavik,66.0449,-17.3389,51.8,62,10.36,04/24/2021,0,IS
touros,-5.1989,-35.4608,84.2,70,16.11,04/24/2021,40,BR
okha,53.5739,142.9478,22.91,85,10.07,04/24/2021,18,RU
ambon,-3.6954,128.1814,77.0,94,5.75,04/24/2021,40,ID
barabash,43.2,131.4833,28.4,100,5.57,04/24/2021,0,RU
bure,10.7,37.0667,62.98,66,1.79,04/24/2021,99,ET
saint-denis,48.9167,2.3333,64.0,34,13.8,04/24/2021,0,FR
northam,51.0333,-4.2167,53.01,46,1.01,04/24/2021,61,GB
sitka,57.0531,-135.33,51.8,40,5.75,04/24/2021,1,US
la ciotat,43.1748,5.6045,66.0,46,6.4,04/24/2021,52,FR
chernyshevskiy,63.0128,112.4714,28.36,98,2.37,04/24/2021,98,RU
kavaratti,10.5669,72.642,84.38,74,7.38,04/24/2021,19,IN
egvekinot,66.3167,-179.1667,17.85,89,0.78,04/24/2021,94,RU
dunedin,-45.8742,170.5036,48.99,78,8.01,04/24/2021,43,NZ
abu dhabi,24.4667,54.3667,82.4,69,6.91,04/24/2021,0,AE
vila velha,-20.3297,-40.2925,81.0,65,11.5,04/24/2021,20,BR
moerai,-22.4333,-151.3333,76.19,67,13.98,04/24/2021,35,PF
shenkursk,62.1091,42.896,50.04,69,9.4,04/24/2021,92,RU
broken hill,-31.95,141.4333,51.8,66,6.91,04/24/2021,0,AU
gurupa,-1.405,-51.64,81.09,88,2.8,04/24/2021,100,BR
kisaran,2.9845,99.6158,73.33,94,2.46,04/24/2021,100,ID
balkanabat,39.5108,54.3671,72.82,44,4.47,04/24/2021,40,TM
alakurtti,66.9672,30.3491,35.01,85,7.0,04/24/2021,100,RU
porto murtinho,-21.6989,-57.8825,92.73,34,6.04,04/24/2021,90,BR
nanga eboko,4.6833,12.3667,72.37,81,2.66,04/24/2021,95,CM
saskylakh,71.9167,114.0833,32.41,92,12.68,04/24/2021,100,RU
trincomalee,8.5711,81.2335,83.26,75,7.16,04/24/2021,11,LK
am timan,11.0297,20.2827,97.83,20,0.43,04/24/2021,51,TD
kasempa,-13.4584,25.8338,70.21,59,3.87,04/24/2021,92,ZM
rochegda,62.8,43.25,50.32,68,10.51,04/24/2021,78,RU
riyadh,24.6877,46.7219,95.0,13,10.27,04/24/2021,0,SA
razdolinsk,58.4211,94.6658,31.19,99,1.48,04/24/2021,100,RU
noumea,-22.2763,166.4572,78.01,100,4.61,04/24/2021,75,NC
saint-augustin,51.226,-58.6502,38.61,79,11.95,04/24/2021,92,CA
umm kaddadah,13.6017,26.6876,89.51,13,13.6,04/24/2021,59,SD
los llanos de aridane,28.6585,-17.9182,71.6,60,4.61,04/24/2021,20,ES
flin flon,54.7682,-101.865,28.4,40,5.75,04/24/2021,75,CA
clyde river,70.4692,-68.5914,17.6,93,9.22,04/24/2021,75,CA
samarai,-10.6167,150.6667,81.93,80,12.91,04/24/2021,95,PG
faya,18.3851,42.4509,59.0,72,16.11,04/24/2021,75,SA
virginia beach,36.8529,-75.978,68.0,42,12.66,04/24/2021,90,US
raton,36.9034,-104.4391,62.6,17,12.66,04/24/2021,1,US
synya,65.3718,58.0387,38.93,89,3.67,04/24/2021,62,RU
dilla,6.41,38.31,64.92,88,5.68,04/24/2021,100,ET
buala,-8.145,159.5921,79.3,83,2.51,04/24/2021,64,SB
